Name,Drink_Name,Rating
Julia Sutula,Hazelnut Grape Stab,5
Julia Sutula,High Plum Trap,0
Julia Sutula,Indefinite King's Whip,5
Julia Sutula,Indefinite Ocean Mercenary,5
Julia Sutula,Infinite River Past,1
Julia Sutula,Magic Bow,0
Julia Sutula,Mental Northern,1
Julia Sutula,Negative Doomed Dirt,1
Julia Sutula,Pit Shandy,2
Julia Sutula,Southern Club,2
Julia Sutula,Special Joy,0
Julia Sutula,Vanilla Bow,0
Julia Sutula,Amazing Sapphire Rain,3
Julia Sutula,Amazing Vanilla Walnut,3
Julia Sutula,Ancient Mead Potion,3
Julia Sutula,Angry Brew,5
Julia Sutula,Architect's Book,0
Julia Sutula,Demonic Ecstatic Brew,1
Julia Sutula,Dirt Element,4
Julia Sutula,Hateful Twister,3
Julia Sutula,Island Shaman,5
Julia Sutula,Kiwi Halbierd,2
Julia Sutula,Moonrise Flute,2
Julia Sutula,Peanut Hazelnut Cocktail,2
Julia Sutula,Plum Dread,4
Julia Sutula,Prince's Honor,2
Julia Sutula,Random Spring Scribe,0
Julia Sutula,Redemption Tea,1
Julia Sutula,Spinning Law,5
Julia Sutula,Tasty Dagger,1
Julia Sutula,Vanilla Tart Sword,3
Julia Sutula,Angel's Voice,2
Julia Sutula,Angelic Ochre Rogue,2
Julia Sutula,Blessed Compassionate Thunder,0
Julia Sutula,Blessed Sour Shake,3
Julia Sutula,Deep Club,4
Julia Sutula,Disgusting Squirt,3
Julia Sutula,Doomed Martini,2
Julia Sutula,Exorcist's Autumn,0
Julia Sutula,Foul Dreamer's Fear,5
Julia Sutula,Holy Forest Politician,4
Julia Sutula,Holy Thunder Armageddon,4
Julia Sutula,Holy Tundra Cordial,2
Julia Sutula,Infamous Chocolate Greatness,2
Julia Sutula,Infamous War Law,0
Julia Sutula,Island Harlot,2
Julia Sutula,Legendary Letcherous Blast,1
Julia Sutula,Low Arctic Abyss,2
Julia Sutula,Modest Diamond Armorer,0
Julia Sutula,Obvious Insane Scream,1
Julia Sutula,Peach Elixir,4
Julia Sutula,Peppermint Insanity,5
Julia Sutula,Absolute Cultivated Grave robber,0
Julia Sutula,Amazing Annihilation Creation,5
Julia Sutula,Amazing Far Queen,4
Julia Sutula,Amazing Jade Strength,3
Julia Sutula,Ancient Herbologist's Lunacy,0
Julia Sutula,Berry Shandy,2
Julia Sutula,Blessed Fat Rogue,5
Julia Sutula,Coconut Chocolate Slap,4
Julia Sutula,Deathly Cocoa,2
Julia Sutula,Godlike Bodyguard's Moonrise,2
Julia Sutula,Grape Peanut Autumn,1
Julia Sutula,Holy Garnet Pit,2
Julia Sutula,Insane Cognac Twister,3
Julia Sutula,Jade Rain,0
Julia Sutula,Letcherous Altar,3
Julia Sutula,Low Rotten War,2
Julia Sutula,Mint Grape Destiny,3
Julia Sutula,Raspberry Flute,3
Julia Sutula,Thin Assassin,3
Julia Sutula,Wonderful War Greatness,5
Julia Sutula,Absolute Milk Tea,5
Julia Sutula,Ancient Bloody Fortune-teller,0
Julia Sutula,Blessed Decadent Tea,0
Julia Sutula,Fatal Lemon Gate,1
Julia Sutula,Fatal Liquour Cocoa,4
Julia Sutula,Final Chocolate Trousers,5
Julia Sutula,Foul Codex,0
Julia Sutula,Godlike Joy Martini,1
Julia Sutula,Hazelnut Imagining,2
Julia Sutula,Insane Beastmaster,2
Julia Sutula,Island Smuggler,3
Julia Sutula,Kingdom Punch,0
Julia Sutula,Liquour Float,0
Julia Sutula,Nectarine Brew,4
Julia Sutula,Peppermint Apple Margarita,2
Julia Sutula,Positive Carmel Smut,3
Julia Sutula,Sour Lightning,5
Julia Sutula,Thief's Chaos,5
Julia Sutula,Ultimate Crazy Margarita,1
Julia Sutula,Wonderful Twisting Ecstacy,3
Julia Sutula,Absolute Mystic Lantern,2
Julia Sutula,Beer Tea,1
Julia Sutula,Broad Berry,4
Julia Sutula,Cartographer's Sunset,3
Julia Sutula,Devilish Lemon Voice,1
Julia Sutula,Final Clever Shake,5
Julia Sutula,Final Courageous Orange,0
Julia Sutula,Furious Martini,5
Julia Sutula,Harlot's Planet,3
Julia Sutula,Honorable Spring,0
Julia Sutula,Indefinite Sailor's Blast,5
Julia Sutula,Infamous Barbarian's Light,1
Julia Sutula,Infinite Sunrise Creation,5
Julia Sutula,Lime Mint Elixir,0
Julia Sutula,Low Peppermint Voice,1
Julia Sutula,Low Raging Decadent,1
Julia Sutula,Obvious Deep Conjurer,5
Julia Sutula,Spring Bodyguard,2
Julia Sutula,Storm Brew,5
Julia Sutula,Tea Peanut Cocoa,4
Julia Sutula,Absolute Alabaster Nectarine,2
Julia Sutula,Almond Sword,0
Julia Sutula,Blessed Arctic Slice,4
Julia Sutula,Buster Lightning,1
Julia Sutula,Elemental Mystic Grave robber,3
Julia Sutula,Foul Sour Breath,4
Julia Sutula,Godlike Draught,3
Julia Sutula,Infamous Modest Seer,2
Julia Sutula,Lime Peach Breaker,0
Julia Sutula,Melon Strength,1
Julia Sutula,Peach Plum Blend,0
Julia Sutula,Positive Brown Plot,5
Julia Sutula,Positive Lunacy Shandy,3
Julia Sutula,Random Bandit's Creation,2
Julia Sutula,Random Liquer Margarita,4
Julia Sutula,Regal Smuggler,2
Julia Sutula,Slice Creation,0
Julia Sutula,Vanilla Armageddon,0
Julia Sutula,Walnut Tea Coral,1
Julia Sutula,Winter Cocktail,4
Stephen Jin,Blueberry Vanilla Raspberry,0
Stephen Jin,Champion's Hack,4
Stephen Jin,Compassionate Rain,4
Stephen Jin,Devilish Brandy Margarita,0
Stephen Jin,Drunken Blend,0
Stephen Jin,Drunken Gladness,0
Stephen Jin,Fall Musician,3
Stephen Jin,High Storm,2
Stephen Jin,Holy Sadness Tea,5
Stephen Jin,Infinite Witty Mix,1
Stephen Jin,Legendary Coconut Peanut,1
Stephen Jin,Legendary Ochre Bow,3
Stephen Jin,Lemon Twister,4
Stephen Jin,Modest Sexual Priest,5
Stephen Jin,Philosopher's Halbierd,2
Stephen Jin,Positive Gigolo's Creation,3
Stephen Jin,Raging Dancer,4
Stephen Jin,Raspberry Brew,3
Stephen Jin,Vanilla Tart Autumn,5
Stephen Jin,Vengeance Shake,2
Stephen Jin,Apple Smut,0
Stephen Jin,Astounding Magical Passion,0
Stephen Jin,Astounding Whore's Ecstacy,0
Stephen Jin,Blessed Sweet Jape,1
Stephen Jin,Dutchy Cocktail,3
Stephen Jin,Evil Plum,5
Stephen Jin,Fatal Ruby Plan,5
Stephen Jin,Final Desert Outlaw,0
Stephen Jin,Foul Storm,2
Stephen Jin,Imaginary Thinker,0
Stephen Jin,Infinite Red Herbologist,1
Stephen Jin,Island Rocky,4
Stephen Jin,Marine's Scream,4
Stephen Jin,Orange Lantern,4
Stephen Jin,Plum Blend,0
Stephen Jin,Purple Mansion,5
Stephen Jin,Random Thief's Spring,4
Stephen Jin,Sexual Shake,3
Stephen Jin,Tart Dutchy,3
Stephen Jin,Trader's Kingdom,4
Stephen Jin,Banana Lemon Shot,0
Stephen Jin,Bartender's Autumn,3
Stephen Jin,Coconut Lime Past,3
Stephen Jin,Devilish Insane Snare,3
Stephen Jin,Devilish Murder Order,1
Stephen Jin,Elemental Passionate Moonset,5
Stephen Jin,Final Strength Cocktail,5
Stephen Jin,Foul Twisted Candle,2
Stephen Jin,Godlike Chocolate Moonset,0
Stephen Jin,Godlike Cut Wonder,5
Stephen Jin,Hazelnut Carmel Blend,3
Stephen Jin,Infamous Modest Shot,1
Stephen Jin,Infinite Coral Trap,3
Stephen Jin,Insane Dire Knight,1
Stephen Jin,Insane Hack Spring,2
Stephen Jin,Legendary Tea Shandy,4
Stephen Jin,Nectarine Codex,3
Stephen Jin,Positive Bodyguard's Castle,2
Stephen Jin,Rotten Fall,2
Stephen Jin,Thin Wand,1
Stephen Jin,Amazing Desert Shandy,1
Stephen Jin,Angelic Deep Anvil,3
Stephen Jin,Cocoa Lemon Cocktail,2
Stephen Jin,Demonic Fortune-teller's Oblivion,4
Stephen Jin,Dishonorable Mix,5
Stephen Jin,Far Sailor,1
Stephen Jin,Furious Far,4
Stephen Jin,Furious Tea,2
Stephen Jin,Hazelnut Grape Stab,1
Stephen Jin,High Plum Trap,1
Stephen Jin,Indefinite King's Whip,0
Stephen Jin,Indefinite Ocean Mercenary,0
Stephen Jin,Infinite River Past,0
Stephen Jin,Magic Bow,1
Stephen Jin,Mental Northern,3
Stephen Jin,Negative Doomed Dirt,4
Stephen Jin,Pit Shandy,2
Stephen Jin,Southern Club,2
Stephen Jin,Special Joy,0
Stephen Jin,Vanilla Bow,4
Stephen Jin,Amazing Sapphire Rain,3
Stephen Jin,Amazing Vanilla Walnut,4
Stephen Jin,Ancient Mead Potion,1
Stephen Jin,Angry Brew,4
Stephen Jin,Architect's Book,0
Stephen Jin,Demonic Ecstatic Brew,0
Stephen Jin,Dirt Element,1
Stephen Jin,Hateful Twister,1
Stephen Jin,Island Shaman,0
Stephen Jin,Kiwi Halbierd,4
Stephen Jin,Moonrise Flute,4
Stephen Jin,Peanut Hazelnut Cocktail,4
Stephen Jin,Plum Dread,3
Stephen Jin,Prince's Honor,1
Stephen Jin,Random Spring Scribe,1
Stephen Jin,Redemption Tea,2
Stephen Jin,Spinning Law,1
Stephen Jin,Tasty Dagger,5
Stephen Jin,Vanilla Tart Sword,1
Stephen Jin,Angel's Voice,3
Stephen Jin,Angelic Ochre Rogue,0
Stephen Jin,Blessed Compassionate Thunder,2
Stephen Jin,Blessed Sour Shake,4
Stephen Jin,Deep Club,0
Stephen Jin,Disgusting Squirt,2
Stephen Jin,Doomed Martini,5
Stephen Jin,Exorcist's Autumn,0
Stephen Jin,Foul Dreamer's Fear,1
Stephen Jin,Holy Forest Politician,4
Stephen Jin,Holy Thunder Armageddon,3
Stephen Jin,Holy Tundra Cordial,5
Stephen Jin,Infamous Chocolate Greatness,2
Stephen Jin,Infamous War Law,1
Stephen Jin,Island Harlot,4
Stephen Jin,Legendary Letcherous Blast,3
Stephen Jin,Low Arctic Abyss,0
Stephen Jin,Modest Diamond Armorer,4
Stephen Jin,Obvious Insane Scream,2
Stephen Jin,Peach Elixir,5
Stephen Jin,Peppermint Insanity,1
Stephen Jin,Absolute Cultivated Grave robber,4
Stephen Jin,Amazing Annihilation Creation,0
Stephen Jin,Amazing Far Queen,1
Stephen Jin,Amazing Jade Strength,3
Stephen Jin,Ancient Herbologist's Lunacy,0
Stephen Jin,Berry Shandy,4
Stephen Jin,Blessed Fat Rogue,3
Stephen Jin,Coconut Chocolate Slap,4
Stephen Jin,Deathly Cocoa,3
Stephen Jin,Godlike Bodyguard's Moonrise,4
Stephen Jin,Grape Peanut Autumn,4
Stephen Jin,Holy Garnet Pit,0
Stephen Jin,Insane Cognac Twister,2
Stephen Jin,Jade Rain,1
Stephen Jin,Letcherous Altar,2
Stephen Jin,Low Rotten War,2
Stephen Jin,Mint Grape Destiny,5
Stephen Jin,Raspberry Flute,3
Stephen Jin,Thin Assassin,1
Stephen Jin,Wonderful War Greatness,1
Stephen Jin,Absolute Milk Tea,1
Stephen Jin,Ancient Bloody Fortune-teller,4
Stephen Jin,Blessed Decadent Tea,2
Stephen Jin,Fatal Lemon Gate,1
Stephen Jin,Fatal Liquour Cocoa,0
Stephen Jin,Final Chocolate Trousers,0
Stephen Jin,Foul Codex,4
Stephen Jin,Godlike Joy Martini,4
Stephen Jin,Hazelnut Imagining,4
Stephen Jin,Insane Beastmaster,2
Stephen Jin,Island Smuggler,0
Stephen Jin,Kingdom Punch,5
Stephen Jin,Liquour Float,1
Stephen Jin,Nectarine Brew,1
Stephen Jin,Peppermint Apple Margarita,1
Stephen Jin,Positive Carmel Smut,4
Stephen Jin,Sour Lightning,0
Stephen Jin,Thief's Chaos,5
Stephen Jin,Ultimate Crazy Margarita,2
Stephen Jin,Wonderful Twisting Ecstacy,1
Stephen Jin,Absolute Mystic Lantern,3
Stephen Jin,Beer Tea,5
Stephen Jin,Broad Berry,1
Stephen Jin,Cartographer's Sunset,5
Stephen Jin,Devilish Lemon Voice,5
Stephen Jin,Final Clever Shake,2
Stephen Jin,Final Courageous Orange,4
Stephen Jin,Furious Martini,3
Stephen Jin,Harlot's Planet,5
Stephen Jin,Honorable Spring,2
Stephen Jin,Indefinite Sailor's Blast,5
Stephen Jin,Infamous Barbarian's Light,2
Stephen Jin,Infinite Sunrise Creation,4
Stephen Jin,Lime Mint Elixir,3
Stephen Jin,Low Peppermint Voice,5
Stephen Jin,Low Raging Decadent,2
Stephen Jin,Obvious Deep Conjurer,5
Stephen Jin,Spring Bodyguard,3
Stephen Jin,Storm Brew,4
Stephen Jin,Tea Peanut Cocoa,1
Stephen Jin,Absolute Alabaster Nectarine,0
Stephen Jin,Almond Sword,2
Stephen Jin,Blessed Arctic Slice,5
Stephen Jin,Buster Lightning,0
Stephen Jin,Elemental Mystic Grave robber,0
Stephen Jin,Foul Sour Breath,1
Stephen Jin,Godlike Draught,5
Stephen Jin,Infamous Modest Seer,5
Stephen Jin,Lime Peach Breaker,1
Stephen Jin,Melon Strength,0
Stephen Jin,Peach Plum Blend,0
Stephen Jin,Positive Brown Plot,3
Stephen Jin,Positive Lunacy Shandy,3
Stephen Jin,Random Bandit's Creation,1
Stephen Jin,Random Liquer Margarita,2
Stephen Jin,Regal Smuggler,4
Stephen Jin,Slice Creation,1
Stephen Jin,Vanilla Armageddon,2
Stephen Jin,Walnut Tea Coral,3
Stephen Jin,Winter Cocktail,2
Tom Imielinski,Blueberry Vanilla Raspberry,0
Tom Imielinski,Champion's Hack,5
Tom Imielinski,Compassionate Rain,5
Tom Imielinski,Devilish Brandy Margarita,2
Tom Imielinski,Drunken Blend,3
Tom Imielinski,Drunken Gladness,5
Tom Imielinski,Fall Musician,5
Tom Imielinski,High Storm,4
Tom Imielinski,Holy Sadness Tea,5
Tom Imielinski,Infinite Witty Mix,1
Tom Imielinski,Legendary Coconut Peanut,1
Tom Imielinski,Legendary Ochre Bow,4
Tom Imielinski,Lemon Twister,4
Tom Imielinski,Modest Sexual Priest,2
Tom Imielinski,Philosopher's Halbierd,1
Tom Imielinski,Positive Gigolo's Creation,3
Tom Imielinski,Raging Dancer,2
Tom Imielinski,Raspberry Brew,0
Tom Imielinski,Vanilla Tart Autumn,5
Tom Imielinski,Vengeance Shake,2
Tom Imielinski,Apple Smut,3
Tom Imielinski,Astounding Magical Passion,0
Tom Imielinski,Astounding Whore's Ecstacy,4
Tom Imielinski,Blessed Sweet Jape,5
Tom Imielinski,Dutchy Cocktail,3
Tom Imielinski,Evil Plum,0
Tom Imielinski,Fatal Ruby Plan,1
Tom Imielinski,Final Desert Outlaw,3
Tom Imielinski,Foul Storm,5
Tom Imielinski,Imaginary Thinker,0
Tom Imielinski,Infinite Red Herbologist,4
Tom Imielinski,Island Rocky,5
Tom Imielinski,Marine's Scream,2
Tom Imielinski,Orange Lantern,0
Tom Imielinski,Plum Blend,5
Tom Imielinski,Purple Mansion,0
Tom Imielinski,Random Thief's Spring,4
Tom Imielinski,Sexual Shake,4
Tom Imielinski,Tart Dutchy,4
Tom Imielinski,Trader's Kingdom,0
Tom Imielinski,Banana Lemon Shot,1
Tom Imielinski,Bartender's Autumn,2
Tom Imielinski,Coconut Lime Past,4
Tom Imielinski,Devilish Insane Snare,5
Tom Imielinski,Devilish Murder Order,2
Tom Imielinski,Elemental Passionate Moonset,1
Tom Imielinski,Final Strength Cocktail,4
Tom Imielinski,Foul Twisted Candle,5
Tom Imielinski,Godlike Chocolate Moonset,0
Tom Imielinski,Godlike Cut Wonder,2
Tom Imielinski,Hazelnut Carmel Blend,4
Tom Imielinski,Infamous Modest Shot,3
Tom Imielinski,Infinite Coral Trap,5
Tom Imielinski,Insane Dire Knight,0
Tom Imielinski,Insane Hack Spring,5
Tom Imielinski,Legendary Tea Shandy,5
Tom Imielinski,Nectarine Codex,3
Tom Imielinski,Positive Bodyguard's Castle,2
Tom Imielinski,Rotten Fall,1
Tom Imielinski,Thin Wand,2
Tom Imielinski,Amazing Desert Shandy,3
Tom Imielinski,Angelic Deep Anvil,3
Tom Imielinski,Cocoa Lemon Cocktail,5
Tom Imielinski,Demonic Fortune-teller's Oblivion,5
Tom Imielinski,Dishonorable Mix,4
Tom Imielinski,Far Sailor,1
Tom Imielinski,Furious Far,2
Tom Imielinski,Furious Tea,0
Tom Imielinski,Hazelnut Grape Stab,5
Tom Imielinski,High Plum Trap,2
Tom Imielinski,Indefinite King's Whip,0
Tom Imielinski,Indefinite Ocean Mercenary,3
Tom Imielinski,Infinite River Past,4
Tom Imielinski,Magic Bow,0
Tom Imielinski,Mental Northern,0
Tom Imielinski,Negative Doomed Dirt,4
Tom Imielinski,Pit Shandy,3
Tom Imielinski,Southern Club,4
Tom Imielinski,Special Joy,0
Tom Imielinski,Vanilla Bow,5
Tom Imielinski,Amazing Sapphire Rain,0
Tom Imielinski,Amazing Vanilla Walnut,0
Tom Imielinski,Ancient Mead Potion,1
Tom Imielinski,Angry Brew,2
Tom Imielinski,Architect's Book,4
Tom Imielinski,Demonic Ecstatic Brew,0
Tom Imielinski,Dirt Element,5
Tom Imielinski,Hateful Twister,5
Tom Imielinski,Island Shaman,3
Tom Imielinski,Kiwi Halbierd,3
Tom Imielinski,Moonrise Flute,5
Tom Imielinski,Peanut Hazelnut Cocktail,3
Tom Imielinski,Plum Dread,0
Tom Imielinski,Prince's Honor,3
Tom Imielinski,Random Spring Scribe,4
Tom Imielinski,Redemption Tea,4
Tom Imielinski,Spinning Law,5
Tom Imielinski,Tasty Dagger,3
Tom Imielinski,Vanilla Tart Sword,5
Tom Imielinski,Angel's Voice,1
Tom Imielinski,Angelic Ochre Rogue,2
Tom Imielinski,Blessed Compassionate Thunder,5
Tom Imielinski,Blessed Sour Shake,3
Tom Imielinski,Deep Club,1
Tom Imielinski,Disgusting Squirt,4
Tom Imielinski,Doomed Martini,0
Tom Imielinski,Exorcist's Autumn,0
Tom Imielinski,Foul Dreamer's Fear,2
Tom Imielinski,Holy Forest Politician,4
Tom Imielinski,Holy Thunder Armageddon,2
Tom Imielinski,Holy Tundra Cordial,3
Tom Imielinski,Infamous Chocolate Greatness,0
Tom Imielinski,Infamous War Law,1
Tom Imielinski,Island Harlot,1
Tom Imielinski,Legendary Letcherous Blast,0
Tom Imielinski,Low Arctic Abyss,1
Tom Imielinski,Modest Diamond Armorer,4
Tom Imielinski,Obvious Insane Scream,0
Tom Imielinski,Peach Elixir,0
Tom Imielinski,Peppermint Insanity,0
Tom Imielinski,Absolute Cultivated Grave robber,2
Tom Imielinski,Amazing Annihilation Creation,0
Tom Imielinski,Amazing Far Queen,1
Tom Imielinski,Amazing Jade Strength,3
Tom Imielinski,Ancient Herbologist's Lunacy,3
Tom Imielinski,Berry Shandy,0
Tom Imielinski,Blessed Fat Rogue,2
Tom Imielinski,Coconut Chocolate Slap,4
Tom Imielinski,Deathly Cocoa,2
Tom Imielinski,Godlike Bodyguard's Moonrise,5
Tom Imielinski,Grape Peanut Autumn,3
Tom Imielinski,Holy Garnet Pit,4
Tom Imielinski,Insane Cognac Twister,3
Tom Imielinski,Jade Rain,2
Tom Imielinski,Letcherous Altar,2
Tom Imielinski,Low Rotten War,5
Tom Imielinski,Mint Grape Destiny,3
Tom Imielinski,Raspberry Flute,4
Tom Imielinski,Thin Assassin,2
Tom Imielinski,Wonderful War Greatness,2
Tom Imielinski,Absolute Milk Tea,2
Tom Imielinski,Ancient Bloody Fortune-teller,1
Tom Imielinski,Blessed Decadent Tea,0
Tom Imielinski,Fatal Lemon Gate,0
Tom Imielinski,Fatal Liquour Cocoa,3
Tom Imielinski,Final Chocolate Trousers,3
Tom Imielinski,Foul Codex,4
Tom Imielinski,Godlike Joy Martini,3
Tom Imielinski,Hazelnut Imagining,3
Tom Imielinski,Insane Beastmaster,5
Tom Imielinski,Island Smuggler,4
Tom Imielinski,Kingdom Punch,2
Tom Imielinski,Liquour Float,0
Tom Imielinski,Nectarine Brew,0
Tom Imielinski,Peppermint Apple Margarita,2
Tom Imielinski,Positive Carmel Smut,5
Tom Imielinski,Sour Lightning,0
Tom Imielinski,Thief's Chaos,2
Tom Imielinski,Ultimate Crazy Margarita,3
Tom Imielinski,Wonderful Twisting Ecstacy,5
Tom Imielinski,Absolute Mystic Lantern,0
Tom Imielinski,Beer Tea,1
Tom Imielinski,Broad Berry,4
Tom Imielinski,Cartographer's Sunset,1
Tom Imielinski,Devilish Lemon Voice,1
Tom Imielinski,Final Clever Shake,5
Tom Imielinski,Final Courageous Orange,3
Tom Imielinski,Furious Martini,2
Tom Imielinski,Harlot's Planet,3
Tom Imielinski,Honorable Spring,3
Tom Imielinski,Indefinite Sailor's Blast,0
Tom Imielinski,Infamous Barbarian's Light,1
Tom Imielinski,Infinite Sunrise Creation,3
Tom Imielinski,Lime Mint Elixir,5
Tom Imielinski,Low Peppermint Voice,0
Tom Imielinski,Low Raging Decadent,5
Tom Imielinski,Obvious Deep Conjurer,0
Tom Imielinski,Spring Bodyguard,3
Tom Imielinski,Storm Brew,2
Tom Imielinski,Tea Peanut Cocoa,3
Tom Imielinski,Absolute Alabaster Nectarine,3
Tom Imielinski,Almond Sword,0
Tom Imielinski,Blessed Arctic Slice,5
Tom Imielinski,Buster Lightning,4
Tom Imielinski,Elemental Mystic Grave robber,5
Tom Imielinski,Foul Sour Breath,1
Tom Imielinski,Godlike Draught,1
Tom Imielinski,Infamous Modest Seer,2
Tom Imielinski,Lime Peach Breaker,0
Tom Imielinski,Melon Strength,0
Tom Imielinski,Peach Plum Blend,4
Tom Imielinski,Positive Brown Plot,5
Tom Imielinski,Positive Lunacy Shandy,5
Tom Imielinski,Random Bandit's Creation,0
Tom Imielinski,Random Liquer Margarita,5
Tom Imielinski,Regal Smuggler,1
Tom Imielinski,Slice Creation,5
Tom Imielinski,Vanilla Armageddon,3
Tom Imielinski,Walnut Tea Coral,4
Tom Imielinski,Winter Cocktail,5
Taylor Swift,Blueberry Vanilla Raspberry,1
Taylor Swift,Champion's Hack,5
Taylor Swift,Compassionate Rain,1
Taylor Swift,Devilish Brandy Margarita,0
Taylor Swift,Drunken Blend,3
Taylor Swift,Drunken Gladness,5
Taylor Swift,Fall Musician,4
Taylor Swift,High Storm,1
Taylor Swift,Holy Sadness Tea,1
Taylor Swift,Infinite Witty Mix,2
Taylor Swift,Legendary Coconut Peanut,4
Taylor Swift,Legendary Ochre Bow,0
Taylor Swift,Lemon Twister,1
Taylor Swift,Modest Sexual Priest,3
Taylor Swift,Philosopher's Halbierd,2
Taylor Swift,Positive Gigolo's Creation,1
Taylor Swift,Raging Dancer,1
Taylor Swift,Raspberry Brew,5
Taylor Swift,Vanilla Tart Autumn,0
Taylor Swift,Vengeance Shake,4
Taylor Swift,Apple Smut,4
Taylor Swift,Astounding Magical Passion,1
Taylor Swift,Astounding Whore's Ecstacy,1
Taylor Swift,Blessed Sweet Jape,3
Taylor Swift,Dutchy Cocktail,2
Taylor Swift,Evil Plum,4
Taylor Swift,Fatal Ruby Plan,3
Taylor Swift,Final Desert Outlaw,3
Taylor Swift,Foul Storm,4
Taylor Swift,Imaginary Thinker,4
Taylor Swift,Infinite Red Herbologist,4
Taylor Swift,Island Rocky,0
Taylor Swift,Marine's Scream,4
Taylor Swift,Orange Lantern,4
Taylor Swift,Plum Blend,3
Taylor Swift,Purple Mansion,5
Taylor Swift,Random Thief's Spring,1
Taylor Swift,Sexual Shake,2
Taylor Swift,Tart Dutchy,2
Taylor Swift,Trader's Kingdom,3
Taylor Swift,Banana Lemon Shot,4
Taylor Swift,Bartender's Autumn,1
Taylor Swift,Coconut Lime Past,4
Taylor Swift,Devilish Insane Snare,4
Taylor Swift,Devilish Murder Order,5
Taylor Swift,Elemental Passionate Moonset,5
Taylor Swift,Final Strength Cocktail,5
Taylor Swift,Foul Twisted Candle,4
Taylor Swift,Godlike Chocolate Moonset,4
Taylor Swift,Godlike Cut Wonder,3
Taylor Swift,Hazelnut Carmel Blend,4
Taylor Swift,Infamous Modest Shot,2
Taylor Swift,Infinite Coral Trap,5
Taylor Swift,Insane Dire Knight,2
Taylor Swift,Insane Hack Spring,5
Taylor Swift,Legendary Tea Shandy,0
Taylor Swift,Nectarine Codex,0
Taylor Swift,Positive Bodyguard's Castle,2
Taylor Swift,Rotten Fall,2
Taylor Swift,Thin Wand,1
Taylor Swift,Amazing Desert Shandy,3
Taylor Swift,Angelic Deep Anvil,3
Taylor Swift,Cocoa Lemon Cocktail,5
Taylor Swift,Demonic Fortune-teller's Oblivion,2
Taylor Swift,Dishonorable Mix,3
Taylor Swift,Far Sailor,3
Taylor Swift,Furious Far,5
Taylor Swift,Furious Tea,1
Taylor Swift,Hazelnut Grape Stab,3
Taylor Swift,High Plum Trap,0
Taylor Swift,Indefinite King's Whip,2
Taylor Swift,Indefinite Ocean Mercenary,2
Taylor Swift,Infinite River Past,3
Taylor Swift,Magic Bow,3
Taylor Swift,Mental Northern,0
